,created_at,text,geo,coordinates,place
10,Mon Feb 08 12:15:12 +0000 2021,Never seen a such a kind hearted and beautiful girl like ❤️ you.Thanks Chathuranga for giving me this opportunity.… https://t.co/n2GxVFwZIo,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
11,Mon Feb 08 10:54:40 +0000 2021,Working hard can give you meaning. Silence can give you peace ✌️ 😎❤️ @ Arcade Independence Square https://t.co/7AHtV5XfHm,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
12,Sat Oct 31 15:15:24 +0000 2020,Angel vs Demon 💣 @ Arcade https://t.co/md1zRQ273n,"{'type': 'Point', 'coordinates': [6.93727427, 79.86929169]}","{'type': 'Point', 'coordinates': [79.86929169, 6.93727427]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
13,Sat Oct 10 13:26:27 +0000 2020,Just posted a photo @ Royal Arcade https://t.co/a577XNb8oy,"{'type': 'Point', 'coordinates': [7.12549085, 79.98152018]}","{'type': 'Point', 'coordinates': [79.98152018, 7.12549085]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
14,Thu Sep 24 15:57:17 +0000 2020,Just posted a photo @ Royal Arcade https://t.co/KIW66F7SxT,"{'type': 'Point', 'coordinates': [7.12549085, 79.98152018]}","{'type': 'Point', 'coordinates': [79.98152018, 7.12549085]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
15,Tue Sep 15 17:02:08 +0000 2020,❤❤ @ Arcade Independence Square https://t.co/wYNQ7QcpH5,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
16,Sun Sep 13 09:50:41 +0000 2020,Just posted a photo @ Arcade Independence Square https://t.co/23ipBGagSH,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
17,Thu Sep 03 13:10:29 +0000 2020,Dilma t lounge Arcade Independence https://t.co/bAyMS8kXVL,,,"{'id': '0fc3891c4ed4f000', 'url': 'https://api.twitter.com/1.1/geo/id/0fc3891c4ed4f000.json', 'place_type': 'poi', 'name': 't-Lounge By Dilmah', 'full_name': 't-Lounge By Dilmah', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.86894, 6.902486], [79.86894, 6.902486], [79.86894, 6.902486], [79.86894, 6.902486]]]}, 'attributes': {}}"
18,Mon Aug 31 15:13:24 +0000 2020,I'm at Royal Arcade in Udugampola https://t.co/n07vXulQro https://t.co/Og8JlosaS2,"{'type': 'Point', 'coordinates': [7.124958, 79.981778]}","{'type': 'Point', 'coordinates': [79.981778, 7.124958]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
19,Fri Aug 21 14:52:10 +0000 2020,#no_caption_needed #morningvibes #morningmotivation #independence #nirhew 💙 @ Arcade Independence Square https://t.co/6Yxpn0XPJu,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
20,Thu Aug 20 18:49:49 +0000 2020,Just posted a photo @ Arcade Independence Square https://t.co/0K7nBq05BI,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
21,Tue Jul 28 10:20:55 +0000 2020,යාලුවෙක් සෙට් උනා ☺️ @ Arcade Independence Square https://t.co/1zosWyjCna,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
22,Fri Jul 10 09:23:16 +0000 2020,Just posted a photo @ Arcade Independence Square https://t.co/1NXU32qLle,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
23,Sun Jun 21 06:17:47 +0000 2020,"Every once in a while, take time to adjust your wings and make sure that you are flying in the right direction!… https://t.co/Z2yQxGnAR6","{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
24,Fri Jun 19 01:32:14 +0000 2020,🔥😎❤️ @ Arcade Independence Square https://t.co/g9NnmWm6ej,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
25,Thu Mar 26 13:18:49 +0000 2020,මේ දැන් @ Arcade Independence Square හිදී ඡායාරූපයක් පළ කරන ලදී https://t.co/qLgqJ7vUwt,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
26,Fri Mar 20 08:28:34 +0000 2020,I’m much more me when I’m with you. ❤️ #withher @ Arcade Independence Square https://t.co/pi2OnjyKxG,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
27,Sat Mar 14 21:20:44 +0000 2020,Giving out what you love most is the hardest but at the end you will realize that it was the best thing that could… https://t.co/ce0oQoCBgB,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
28,Mon Feb 03 19:43:26 +0000 2020,"We are proudly celebrating our 72nd Independence Day In Sr Lanka ❤ නමෝ නමෝ මාතා 🧘

#shansway #amieshan #amiediaries… https://t.co/fivtTB1bde","{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
29,Wed Jan 22 19:51:18 +0000 2020,"Arcade Independence Square @ #old #classic #unique 
#music #forks https://t.co/mt98BW7LgS","{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
30,Sat Dec 28 14:17:14 +0000 2019,Asylum ☺️🍺🥃🍸🍹 #food #restaurant #goodtimes #cocktails #placestovisit #asylum #srilanka #repost @ Asylum at Independ… https://t.co/W6OumzZfWv,"{'type': 'Point', 'coordinates': [6.9025142, 79.8683877]}","{'type': 'Point', 'coordinates': [79.8683877, 6.9025142]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
31,Sun Dec 22 14:49:59 +0000 2019,Ecoscape @ Arcade Independence Square https://t.co/2RU1H7Ryhh,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
32,Sat Dec 14 09:04:18 +0000 2019,"I'm at Arcade Independence Square in Colombo, Western Province https://t.co/WODCiuQA6o","{'type': 'Point', 'coordinates': [6.90287785, 79.86885362]}","{'type': 'Point', 'coordinates': [79.86885362, 6.90287785]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
33,Fri Nov 29 02:54:57 +0000 2019,Arcade Independence Square @ Iphone 7 Plus Photography https://t.co/xh1OTX15Rs,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
34,Sat Oct 26 05:30:07 +0000 2019,Let the lions watch over us  #independencearcade #architecture #srilanka #visitsrilanka #travel #travelphotography… https://t.co/OLQ2vMOOEy,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
35,Tue Oct 22 12:44:06 +0000 2019,Once upon a time..... @ Arcade Independence Square https://t.co/b1snt1zyJ5,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
36,Sat Oct 19 10:24:55 +0000 2019,"All the whispering, glaring, pointing and judging makes them no better than whoever or whatever it is they're gossi… https://t.co/gSVz6WP2II","{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
37,Wed Oct 16 06:28:45 +0000 2019,කිඹුල බනිසුත් වගේ 🤒🤒🤒 @ Arcade Independence Square https://t.co/ouQZFOJUW6,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
38,Fri Oct 11 08:04:25 +0000 2019,"I'm at Arcade Independence Square in Colombo, Western Province https://t.co/wNd8vzWs19","{'type': 'Point', 'coordinates': [6.90287785, 79.86885362]}","{'type': 'Point', 'coordinates': [79.86885362, 6.90287785]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
39,Fri Sep 27 16:26:54 +0000 2019,Unexpected crowd @ Arcade Independence Square https://t.co/hBlMhUAXZW,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
